# seconds, nanoseconds, trueX, trueY, trueZ, trueW, pfX, pfY, pfZ, pfW
1.715789440000000000e+09,3.548100160000000000e+08,1.271858215332031250e-01,-6.008148193359375000e-05,0.000000000000000000e+00,1.000000000000000000e+00,-1.330463051795959473e+00,1.974266953766345978e-02,-6.497836438938975334e-04,9.999997615814208984e-01
1.715789440000000000e+09,3.616056320000000000e+08,1.271858215332031250e-01,-6.008148193359375000e-05,0.000000000000000000e+00,1.000000000000000000e+00,-1.351668715476989746e+00,2.206141874194145203e-02,-5.121851572766900063e-04,9.999998807907104492e-01
1.715789440000000000e+09,3.707598720000000000e+08,1.271858215332031250e-01,-6.008148193359375000e-05,0.000000000000000000e+00,1.000000000000000000e+00,-1.324646949768066406e+00,1.953118853271007538e-02,-1.036065630614757538e-03,9.999994635581970215e-01
1.715789440000000000e+09,3.774504000000000000e+08,1.271858215332031250e-01,-6.008148193359375000e-05,0.000000000000000000e+00,1.000000000000000000e+00,-1.336461782455444336e+00,1.723727956414222717e-02,-2.945179876405745745e-04,9.999999403953552246e-01
1.715789440000000000e+09,3.853726720000000000e+08,1.271858215332031250e-01,-6.008148193359375000e-05,0.000000000000000000e+00,1.000000000000000000e+00,-1.347188115119934082e+00,2.015729807317256927e-02,-9.090472594834864140e-04,9.999995827674865723e-01
1.715789440000000000e+09,3.931273280000000000e+08,1.271858215332031250e-01,-6.008148193359375000e-05,0.000000000000000000e+00,1.000000000000000000e+00,-1.355778098106384277e+00,1.854649931192398071e-02,-6.407207110896706581e-04,9.999998211860656738e-01
1.715789440000000000e+09,3.997083200000000000e+08,1.271858215332031250e-01,-6.008148193359375000e-05,0.000000000000000000e+00,1.000000000000000000e+00,-1.365319609642028809e+00,1.944164186716079712e-02,-8.778849733062088490e-04,9.999996423721313477e-01
1.715789440000000000e+09,4.093089600000000000e+08,1.271858215332031250e-01,-6.008148193359375000e-05,0.000000000000000000e+00,1.000000000000000000e+00,-1.406238436698913574e+00,1.825809106230735779e-02,-6.891180528327822685e-04,9.999997615814208984e-01
1.715789440000000000e+09,4.176746560000000000e+08,1.271858215332031250e-01,-6.008148193359375000e-05,0.000000000000000000e+00,1.000000000000000000e+00,-1.423274278640747070e+00,1.721207424998283386e-02,-5.321831486071459949e-05,1.000000000000000000e+00
1.715789440000000000e+09,4.252326720000000000e+08,1.271858215332031250e-01,-6.008148193359375000e-05,0.000000000000000000e+00,1.000000000000000000e+00,-1.438682794570922852e+00,1.400940120220184326e-02,-3.518856537993997335e-04,9.999999403953552246e-01
