# seconds, nanoseconds, trueX, trueY, trueZ, trueW, pfX, pfY, pfZ, pfW
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.722356224000000000e+09,6.263133440000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.203536987304687500e-01,1.426353007555007935e-01,2.255560364574193954e-03,9.999974370002746582e-01
1.722356224000000000e+09,6.361489280000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.168857812881469727e-01,1.442622393369674683e-01,1.432263641618192196e-03,9.999989867210388184e-01
1.722356224000000000e+09,6.473404160000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.188378930091857910e-01,1.433673352003097534e-01,1.986044459044933319e-03,9.999980330467224121e-01
1.722356224000000000e+09,6.546972160000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.171151399612426758e-01,1.420319825410842896e-01,2.437651855871081352e-03,9.999970197677612305e-01
1.722356224000000000e+09,6.603288960000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.235260367393493652e-01,1.396190673112869263e-01,2.049562288448214531e-03,9.999979138374328613e-01
1.722356224000000000e+09,6.722358400000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.177247166633605957e-01,1.399594694375991821e-01,2.693882677704095840e-03,9.999963641166687012e-01
1.722356224000000000e+09,6.872161920000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.134956479072570801e-01,1.374762207269668579e-01,2.152255736291408539e-03,9.999976754188537598e-01
1.722356224000000000e+09,6.990908160000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.179506182670593262e-01,1.367869228124618530e-01,2.328736241906881332e-03,9.999973177909851074e-01
1.722356224000000000e+09,7.064325120000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.158012151718139648e-01,1.404685676097869873e-01,2.279200591146945953e-03,9.999973773956298828e-01
1.722356224000000000e+09,7.120808320000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.152179837226867676e-01,1.412436813116073608e-01,2.133673522621393204e-03,9.999977350234985352e-01
1.722356224000000000e+09,7.175592320000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.156341433525085449e-01,1.384504586458206177e-01,2.724189544096589088e-03,9.999963045120239258e-01
1.722356224000000000e+09,7.240830080000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.150285005569458008e-01,1.402322500944137573e-01,2.123362850397825241e-03,9.999977350234985352e-01
1.722356224000000000e+09,7.295168000000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.147354841232299805e-01,1.420470923185348511e-01,2.037922618910670280e-03,9.999979138374328613e-01
1.722356224000000000e+09,7.349502720000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.133807897567749023e-01,1.417963802814483643e-01,2.254099585115909576e-03,9.999974370002746582e-01
1.722356224000000000e+09,7.405361280000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.225135922431945801e-01,1.403094232082366943e-01,2.781331539154052734e-03,9.999961256980895996e-01
1.722356224000000000e+09,7.501310080000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.234596371650695801e-01,1.401416510343551636e-01,2.170596271753311157e-03,9.999976158142089844e-01
1.722356224000000000e+09,7.590419200000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.177845597267150879e-01,1.385919004678726196e-01,2.170969033613801003e-03,9.999976158142089844e-01
1.722356224000000000e+09,7.653714560000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.206411123275756836e-01,1.361753940582275391e-01,2.369449939578771591e-03,9.999971985816955566e-01
1.722356224000000000e+09,7.719500160000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.224852204322814941e-01,1.362842768430709839e-01,2.179125091060996056e-03,9.999976158142089844e-01
1.722356224000000000e+09,7.789231360000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.246036887168884277e-01,1.353946924209594727e-01,2.535870531573891640e-03,9.999967813491821289e-01
1.722356224000000000e+09,7.853258240000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.209709644317626953e-01,1.339899152517318726e-01,2.773675369098782539e-03,9.999961256980895996e-01
1.722356224000000000e+09,7.922556160000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.232614517211914062e-01,1.372327357530593872e-01,2.168213715776801109e-03,9.999976754188537598e-01
1.722356224000000000e+09,7.980091520000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.233221888542175293e-01,1.381060779094696045e-01,2.757134381681680679e-03,9.999961853027343750e-01
1.722356224000000000e+09,8.037667840000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.169087290763854980e-01,1.363389492034912109e-01,3.171842312440276146e-03,9.999949932098388672e-01
1.722356224000000000e+09,8.109830400000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.171239614486694336e-01,1.371605545282363892e-01,1.992435893043875694e-03,9.999980330467224121e-01
1.722356224000000000e+09,8.166613760000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.231005787849426270e-01,1.402352750301361084e-01,2.003230853006243706e-03,9.999979734420776367e-01
1.722356224000000000e+09,8.223623040000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.219801306724548340e-01,1.388059854507446289e-01,2.994350623339414597e-03,9.999955296516418457e-01
1.722356224000000000e+09,8.291043840000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.250627636909484863e-01,1.401218473911285400e-01,2.667153952643275261e-03,9.999964237213134766e-01
1.722356224000000000e+09,8.351843840000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.224422454833984375e-01,1.428252160549163818e-01,2.173935994505882263e-03,9.999976158142089844e-01
1.722356224000000000e+09,8.413788160000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.247361898422241211e-01,1.387538313865661621e-01,2.572220284491777420e-03,9.999966621398925781e-01
1.722356224000000000e+09,8.473610880000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.169684529304504395e-01,1.420648396015167236e-01,2.861461136490106583e-03,9.999958872795104980e-01
1.722356224000000000e+09,8.576682240000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.190047860145568848e-01,1.398278623819351196e-01,1.958135515451431274e-03,9.999980926513671875e-01
1.722356224000000000e+09,8.624079360000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.232056617736816406e-01,1.390311717987060547e-01,1.829575398005545139e-03,9.999983310699462891e-01
1.722356224000000000e+09,8.685341440000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.226434111595153809e-01,1.394539177417755127e-01,2.356770448386669159e-03,9.999971985816955566e-01
1.722356224000000000e+09,8.750071040000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.225128769874572754e-01,1.439535319805145264e-01,1.018860377371311188e-03,9.999994635581970215e-01
1.722356224000000000e+09,8.813991680000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.246955990791320801e-01,1.429253965616226196e-01,1.093642786145210266e-03,9.999994039535522461e-01
1.722356224000000000e+09,8.878800640000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.220207810401916504e-01,1.445100009441375732e-01,2.081162529066205025e-03,9.999978542327880859e-01
1.722356224000000000e+09,8.933592960000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.212730407714843750e-01,1.417964100837707520e-01,2.260994864627718925e-03,9.999974370002746582e-01
1.722356224000000000e+09,9.004737280000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.205063462257385254e-01,1.423723846673965454e-01,2.173443790525197983e-03,9.999976158142089844e-01
1.722356224000000000e+09,9.117275520000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.214739680290222168e-01,1.433524489402770996e-01,2.099896548315882683e-03,9.999977946281433105e-01
1.722356224000000000e+09,9.247985920000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.201004981994628906e-01,1.430650055408477783e-01,1.251323497854173183e-03,9.999992251396179199e-01
1.722356224000000000e+09,9.405696000000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.151412129402160645e-01,1.387500762939453125e-01,2.072654198855161667e-03,9.999978542327880859e-01
