# x0, x_bar, x_ref
0.000000  ,0.000000  ,0.000000  ,0.000000  ,1.593964  ,3.578213  ,4.380124  ,4.900962  ,5.186759  ,0.000000  ,0.000000  ,0.250514  ,0.161571  ,-0.293764 ,-2.273239 ,-0.000000 ,0.125587  ,-0.110462 ,-0.718398 ,-1.427407 ,-1.182157 ,0.161000  ,1.432973  ,3.423432  ,4.225344  ,5.019778  ,7.519778  ,0.000000  ,0.000000  ,0.000000  ,0.161000  ,2.071992  ,0.150064  ,-0.000570 ,1.911000  ,3.815844  ,0.200004  ,0.000035  ,3.661000  ,5.314812  ,-0.175811 ,-1.515778 ,5.411000  ,5.311000  ,-1.925083 ,-1.570798 ,7.161000  ,5.310906  ,-3.675094 ,-1.570291 ,8.911000  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,1.593964  ,3.578213  ,4.380124  ,4.900962  ,5.186759  ,0.000000  ,0.000000  ,0.250514  ,0.161571  ,-0.293764 ,-2.273239 ,-0.000000 ,0.125587  ,-0.110462 ,-0.718398 ,-1.427407 ,-1.182157 ,0.161000  ,1.432973  ,3.423432  ,4.225344  ,5.019778  ,7.519778  ,0.000000  ,0.000000  ,0.000000  ,0.161000  ,2.071992  ,0.150064  ,-0.000570 ,1.911000  ,3.815844  ,0.200004  ,0.000035  ,3.661000  ,5.314812  ,-0.175811 ,-1.515778 ,5.411000  ,5.311000  ,-1.925083 ,-1.570798 ,7.161000  ,5.310906  ,-3.675094 ,-1.570291 ,8.911000  
0.000000  ,0.000000  ,0.000000  ,0.000000  ,1.593964  ,3.578213  ,4.380124  ,4.900962  ,5.186759  ,0.000000  ,0.000000  ,0.250514  ,0.161571  ,-0.293764 ,-2.273239 ,-0.000000 ,0.125587  ,-0.110462 ,-0.718398 ,-1.427407 ,-1.182157 ,0.161000  ,1.432973  ,3.423432  ,4.225344  ,5.019778  ,7.519778  ,0.000000  ,0.000000  ,0.000000  ,0.161000  ,2.071992  ,0.150064  ,-0.000570 ,1.911000  ,3.815844  ,0.200004  ,0.000035  ,3.661000  ,5.314812  ,-0.175811 ,-1.515778 ,5.411000  ,5.311000  ,-1.925083 ,-1.570798 ,7.161000  ,5.310906  ,-3.675094 ,-1.570291 ,8.911000  
0.001385  ,0.000000  ,0.155734  ,0.001385  ,1.593697  ,3.577943  ,4.379809  ,4.900719  ,5.186652  ,0.000000  ,-0.000000 ,0.250528  ,0.161553  ,-0.293917 ,-2.273372 ,-0.000000 ,0.125594  ,-0.110508 ,-0.718476 ,-1.427338 ,-1.182088 ,0.159615  ,1.432706  ,3.423164  ,4.225029  ,5.019913  ,7.519913  ,0.001385  ,0.000000  ,0.000000  ,0.159615  ,2.070607  ,0.150062  ,-0.000558 ,1.909615  ,3.814459  ,0.200003  ,0.000026  ,3.659615  ,5.314873  ,-0.174437 ,-1.514376 ,5.409615  ,5.311000  ,-1.923698 ,-1.570798 ,7.159615  ,5.310912  ,-3.673708 ,-1.570321 ,8.909615  
0.021059  ,0.000019  ,0.631234  ,0.021059  ,1.590912  ,3.575297  ,4.376226  ,4.897937  ,5.185254  ,0.000019  ,0.001200  ,0.250638  ,0.161494  ,-0.295620 ,-2.274875 ,0.000752  ,0.125045  ,-0.110845 ,-0.719499 ,-1.426639 ,-1.181389 ,0.139941  ,1.429921  ,3.420523  ,4.221445  ,5.021455  ,7.521455  ,0.021059  ,0.000019  ,0.000752  ,0.139941  ,2.050936  ,0.150041  ,-0.000367 ,1.889941  ,3.794788  ,0.199985  ,-0.000136 ,3.639941  ,5.315600  ,-0.154902 ,-1.492869 ,5.389941  ,5.311000  ,-1.904023 ,-1.570799 ,7.139941  ,5.310986  ,-3.654025 ,-1.570724 ,8.889941  
0.202620  ,0.001931  ,1.962634  ,0.202620  ,2.202557  ,3.753858  ,4.350076  ,5.161049  ,5.610984  ,0.001931  ,0.017735  ,0.142094  ,-0.000769 ,-1.367352 ,-3.316085 ,0.007902  ,0.079993  ,-0.235182 ,-1.035221 ,-1.343887 ,-1.098637 ,0.041620  ,2.041590  ,3.599035  ,4.195128  ,6.603281  ,8.572046  ,0.202620  ,0.001931  ,0.007902  ,0.041620  ,1.952624  ,0.149968  ,0.000289  ,1.791620  ,3.696478  ,0.199900  ,-0.000896 ,3.541620  ,5.311789  ,-0.055853 ,-1.337451 ,5.291620  ,5.310999  ,-1.805702 ,-1.570803 ,7.041620  ,5.311138  ,-3.555685 ,-1.571544 ,8.791620  
0.265772  ,0.002837  ,2.247934  ,0.265772  ,1.640485  ,3.626914  ,4.437676  ,4.943954  ,5.200073  ,0.002837  ,0.017009  ,0.249599  ,0.166757  ,-0.262866 ,-2.246399 ,0.010309  ,0.116558  ,-0.101824 ,-0.703676 ,-1.442384 ,-1.197134 ,0.295228  ,1.479496  ,3.472045  ,4.282907  ,4.993133  ,7.493133  ,0.265772  ,0.002837  ,0.010309  ,0.295228  ,2.206227  ,0.150014  ,-0.000121 ,2.045228  ,3.950065  ,0.200024  ,0.000217  ,3.795228  ,5.309394  ,-0.309004 ,-1.588551 ,5.545228  ,5.311000  ,-2.059311 ,-1.570795 ,7.295228  ,5.310485  ,-3.809374 ,-1.568011 ,9.045228  
0.446399  ,0.005986  ,2.913634  ,0.446399  ,1.635902  ,3.623195  ,4.432278  ,4.940116  ,5.199005  ,0.005986  ,0.025607  ,0.250697  ,0.167080  ,-0.265913 ,-2.249087 ,0.016494  ,0.112784  ,-0.102983 ,-0.706013 ,-1.440988 ,-1.195738 ,0.285399  ,1.474913  ,3.468331  ,4.277511  ,4.995766  ,7.495766  ,0.446399  ,0.005986  ,0.016494  ,0.285399  ,2.196394  ,0.150038  ,-0.000339 ,2.035399  ,3.940235  ,0.200027  ,0.000242  ,3.785399  ,5.309542  ,-0.299203 ,-1.586915 ,5.535399  ,5.311000  ,-2.049482 ,-1.570795 ,7.285399  ,5.310486  ,-3.799545 ,-1.568013 ,9.035399  
0.673596  ,0.011071  ,3.579334  ,0.673596  ,1.871982  ,3.690898  ,4.519489  ,5.000851  ,5.200474  ,0.011071  ,0.039177  ,0.246936  ,0.175482  ,-0.210446 ,-2.200459 ,0.023448  ,0.113728  ,-0.086022 ,-0.675802 ,-1.470819 ,-1.225569 ,0.512596  ,1.710948  ,3.535998  ,4.364627  ,4.950269  ,7.450270  ,0.673596  ,0.011071  ,0.023448  ,0.512596  ,2.423577  ,0.150151  ,-0.001351 ,2.262596  ,4.167473  ,0.199957  ,-0.000406 ,4.012596  ,5.311253  ,-0.526727 ,-1.568002 ,5.762596  ,5.311000  ,-2.276678 ,-1.570796 ,7.512596  ,5.312806  ,-4.026456 ,-1.580575 ,9.262596  
0.823545  ,0.015057  ,3.884044  ,0.823545  ,2.822779  ,3.917330  ,4.497602  ,5.271103  ,5.610999  ,0.015057  ,0.070411  ,0.198392  ,0.000478  ,-1.633804 ,-3.604710 ,0.027680  ,0.116398  ,-0.328699 ,-1.128738 ,-1.400019 ,-1.154769 ,0.737455  ,2.651734  ,3.762493  ,4.356263  ,6.856263  ,8.860584  ,0.823545  ,0.015057  ,0.027680  ,0.737455  ,2.648686  ,0.148125  ,0.017585  ,2.487455  ,4.392183  ,0.200132  ,0.001261  ,4.237455  ,5.310995  ,-0.751537 ,-1.570848 ,5.987455  ,5.311000  ,-2.501537 ,-1.570799 ,7.737455  ,5.305244  ,-4.252246 ,-1.532226 ,9.487455  
